# unit;contract address;decimals
DX;0x973e52691176d36453868d9d86572788d27041a9;18
EBASE;0x86fadb80d8d2cff3c3680819e4da99c10232ba0f;18
ECOREAL;0xb052f8a33d8bb068414eade06af6955199f9f010;18
EDN;0x05860d453c7974cbf46508c06cba14e211c629ce;18
EDO;0xced4e93198734ddaff8492d525bd258d49eb388e;18
EDR;0xc528c28fec0a90c083328bc45f587ee215760a0f;18
EGT;0x8e1b448ec7adfc7fa35fc2e885678bd323176e34;18
EKT;0x4ecdb6385f3db3847f9c4a9bf3f9917bb27a5452;8
ELAC;0xec6c861c2a2b1e5ff5336731bc80c29dbff88273;18
ELF;0xbf2179859fc6d5bee9bf9158632dc51678a4100e;18
EM;0x35b08722aa26be119c1608029ccbc976ac5c1082;8
EMRX;0xbdbc2a5b32f3a5141acd18c39883066e4dab9774;8
ENG;0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4;8
ENJ;0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c;18
EON;0x4cb10f4df4bf4f64d4797d00d468181ef731be9a;8
EOSDAC;0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba;18
ERC20;0xc3761eb917cd790b30dad99f6cc5b4ff93c4f9ea;18
EUM;0x6ab4a7d75b0a42b6bc83e852dab9e121f9c610aa;18
EURS;0xdb25f211ab05b1c97d595516f45794528a807ad8;2
EVN;0xd780ae2bf04cd96e577d3d014762f831d97129d0;18
EVR;0x3137619705b5fc22a3048989f983905e456b59ab;8
EVX;0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8;4
EVY;0xeed3ae7b0f8b5b9bb8c035a9941382b1822671cd;12
EXMR;0x331fa6c97c64e47475164b9fc8143b533c5ef529;18
FAB;0x12683dc9eec95a5f742d40206e73319e6b9d8a91;18
FAT;0x2ec95b8eda549b79a1248335a39d299d00ed314c;18
FET;0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd;18
FLC;0x5b53f9755f82439cba66007ec7073c59e0da4a7d;18
